,Date,H_NY_PRE,H_NY,H_NY_POST,H_CNY_PRE,H_CNY,H_CNY_POST,H_QM_PRE,H_QM,H_QM_POST,H_LABOUR_PRE,H_LABOUR,H_LABOUR_POST,H_DB_PRE,H_DB,H_DB_POST,H_MA_PRE,H_MA,H_MA_POST,H_ND_PRE,H_ND,H_ND_POST
97,2012/8/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2012/8/19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2012/8/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2012/9/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2012/9/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2012/9/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2012/9/23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
104,2012/9/30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
105,2012/10/7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
106,2012/10/14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,2012/10/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2012/10/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2012/11/4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,2012/11/11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2012/11/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2012/11/25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2012/12/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,2012/12/9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2012/12/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2012/12/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2012/12/30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2013/1/6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2013/1/13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2013/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2013/1/27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2013/2/3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2013/2/10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2013/2/17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,2013/2/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2013/3/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
