"","Country","Code","Date","Open","High","Low","Close"
"1140","Australia","ASX 200",2012-06-20,4123.299805,4159.299805,4123.299805,4132.399902
"1141","Australia","ASX 200",2012-06-19,4136.899902,4136.899902,4103.5,4123.299805
"1142","Australia","ASX 200",2012-06-18,4057.300049,4138.799805,4057.300049,4136.899902
"1143","Australia","ASX 200",2012-06-15,4042.199951,4064.199951,4035,4057.300049
"1144","Australia","ASX 200",2012-06-14,4063.800049,4063.800049,4026.5,4042.199951
"1145","Australia","ASX 200",2012-06-13,4072.899902,4087.800049,4048.5,4063.800049
"1146","Australia","ASX 200",2012-06-12,4063.699951,4085.600098,4060.800049,4072.899902
"1147","Australia","ASX 200",2012-06-08,4108.600098,4121.399902,4054.800049,4063.699951
"1148","Australia","ASX 200",2012-06-07,4055.300049,4118.200195,4055.300049,4108.600098
"1149","Australia","ASX 200",2012-06-06,4043.699951,4063.699951,4035,4055.300049
"1150","Australia","ASX 200",2012-06-05,3985,4047.199951,3985,4043.699951
"1151","Australia","ASX 200",2012-06-04,4063.899902,4063.899902,3985,3985
"1152","Australia","ASX 200",2012-06-01,4076.300049,4076.300049,4030.399902,4063.899902
"1153","Australia","ASX 200",2012-05-31,4094.199951,4094.199951,4035.899902,4076.300049
"1154","Australia","ASX 200",2012-05-30,4114.399902,4114.399902,4070.5,4094.199951
"1155","Australia","ASX 200",2012-05-29,4068,4118,4037.899902,4114.399902
"1156","Australia","ASX 200",2012-05-28,4029.199951,4070.800049,4029.199951,4068
