"","Date","Open","High","Low","Close","Index","Country"
"14851","08-16-2007",1320.96,1325.58,1300.84,1317.9,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14852","08-15-2007",1335.93,1340.38,1298.95,1326.12,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14853","08-14-2007",1306.51,1333,1305.02,1331.22,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14854","08-13-2007",1314.58,1317.36,1290.87,1307.24,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14855","08-10-2007",1346.12,1346.12,1293.53,1319.55,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14856","08-9-2007",1327.9,1348.88,1327.9,1348.88,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14857","08-8-2007",1340.16,1350.78,1303.07,1328.83,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14858","08-7-2007",1351.42,1366.13,1326.68,1351.11,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14859","08-6-2007",1333.03,1350.37,1327.37,1350.37,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14860","08-3-2007",1303.79,1325.14,1299.48,1323.4,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14861","08-2-2007",1247.4,1293.14,1247.4,1293.14,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14862","08-1-2007",1295.67,1301.8,1235.65,1241.95,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14863","07-31-2007",1274.87,1293.57,1261.13,1291.31,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14864","07-30-2007",1245.64,1282.36,1245.64,1274.93,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14865","07-27-2007",1224.86,1249.27,1210.4,1246.44,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14866","07-26-2007",1220.41,1238.6,1212.33,1231.64,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14867","07-25-2007",1184.1,1213.19,1184.1,1213.19,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14868","07-24-2007",1191.67,1209.36,1181.32,1184.62,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14869","07-23-2007",1133.33,1181.45,1133.33,1181.45,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14870","07-20-2007",1082.06,1124.98,1082.06,1124.58,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14871","07-19-2007",1077.18,1087.75,1072.48,1082.42,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14872","07-18-2007",1077.36,1096.5,1069.36,1079.95,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14873","07-17-2007",1052.17,1087.9,1044.31,1080.31,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14874","07-16-2007",1090.25,1091.56,1057.07,1057.07,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14875","07-13-2007",1092.11,1093.63,1075.73,1090,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14876","07-12-2007",1087.95,1098.27,1082.55,1091.37,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14877","07-11-2007",1069.76,1087.14,1064.84,1086.24,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14878","07-10-2007",1100.9,1100.9,1073.23,1076.1,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14879","07-9-2007",1075.06,1107.02,1072.04,1100.61,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14880","07-6-2007",1008.64,1067.68,997.94,1066.22,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14881","07-5-2007",1062.81,1065.81,1015.43,1015.85,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14882","07-4-2007",1103.57,1105.51,1075.11,1078.95,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14883","07-3-2007",1087.8,1102.42,1074.71,1101.56,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14884","07-2-2007",1071.25,1090.39,1048.09,1080.06,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14885","06-29-2007",1082.67,1107.73,1059.98,1077.92,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14886","06-28-2007",1174.21,1179.16,1112.29,1112.57,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14887","06-27-2007",1150.98,1179.7,1138.7,1176.39,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14888","06-26-2007",1104.47,1145.47,1086.81,1145.47,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14889","06-25-2007",1187.36,1200.4,1119.05,1127.37,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14890","06-22-2007",1245.53,1246.79,1165.41,1187.95,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14891","06-21-2007",1238.52,1257.9,1222.26,1245.19,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14892","06-20-2007",1279.54,1288.57,1236.32,1244.58,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14893","06-19-2007",1259.7,1275.26,1248.77,1275.26,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14894","06-18-2007",1243.22,1261.88,1243.22,1257.75,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14895","06-15-2007",1211.27,1231.18,1204.01,1223.02,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14896","06-14-2007",1232.06,1241.93,1204.55,1221.17,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14897","06-13-2007",1214.2,1245.91,1213.27,1234.01,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14898","06-12-2007",1180.8,1204.25,1137.72,1204.25,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14899","06-11-2007",1158.4,1174.85,1157.54,1173.26,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14900","06-8-2007",1133.58,1153.09,1124.75,1145.22,"SZSE COMPOSITE INDEX","China-Shenzhen"
"14901","06-7-2007",1089.67,1126.84,1086.99,1126.84,"SZSE COMPOSITE INDEX","China-Shenzhen"
