"","CST","Max.TemperatureC","Mean.TemperatureC","Min.TemperatureC","City","Rain","Snow","Thunderstorm","Fog"
"372",2016-01-07,10,7,3,"Shanghai",0,0,0,0
"373",2016-01-08,8,6,4,"Shanghai",0,0,0,0
"374",2016-01-09,11,6,1,"Shanghai",0,0,0,0
"375",2016-01-10,11,9,8,"Shanghai",1,0,0,0
"376",2016-01-11,9,7,5,"Shanghai",1,0,0,0
"377",2016-01-12,5,3,2,"Shanghai",1,0,0,0
"378",2016-01-13,4,2,-1,"Shanghai",0,0,0,0
"379",2016-01-14,7,3,-1,"Shanghai",0,0,0,0
"380",2016-01-15,11,6,2,"Shanghai",0,0,0,0
"381",2016-01-16,12,6,1,"Shanghai",1,0,0,0
"382",2016-01-17,9,7,4,"Shanghai",1,0,0,0
"383",2016-01-18,5,2,0,"Shanghai",0,0,0,0
"384",2016-01-19,4,1,-2,"Shanghai",0,0,0,0
"385",2016-01-20,5,1,-2,"Shanghai",1,1,0,0
"386",2016-01-21,4,3,2,"Shanghai",1,1,0,0
"387",2016-01-22,5,3,1,"Shanghai",1,1,0,0
"388",2016-01-23,2,-2,-5,"Shanghai",1,1,0,0
"389",2016-01-24,-4,-6,-7,"Shanghai",0,1,0,0
"390",2016-01-25,2,-2,-6,"Shanghai",0,0,0,0
"391",2016-01-26,8,1,-5,"Shanghai",0,0,0,0
"392",2016-01-27,6,4,4,"Shanghai",1,0,0,0
"393",2016-01-28,8,7,6,"Shanghai",1,0,0,1
"394",2016-01-29,8,6,4,"Shanghai",1,0,0,0
"395",2016-01-30,7,4,2,"Shanghai",0,0,0,0
"396",2016-01-31,6,2,-1,"Shanghai",1,1,0,0
"397",2016-02-01,2,0,-1,"Shanghai",0,1,0,0
"398",2016-02-02,6,2,-2,"Shanghai",0,0,0,0
"399",2016-02-03,8,3,-1,"Shanghai",0,0,0,0
"400",2016-02-04,7,3,-1,"Shanghai",0,0,0,0
"401",2016-02-05,10,5,0,"Shanghai",0,0,0,0
"402",2016-02-06,7,3,1,"Shanghai",0,1,0,0
"403",2016-02-07,10,4,-2,"Shanghai",0,0,0,0
"404",2016-02-08,15,7,-1,"Shanghai",0,0,0,0
"405",2016-02-09,21,11,2,"Shanghai",0,0,0,0
"406",2016-02-10,21,14,8,"Shanghai",0,0,0,0
"407",2016-02-11,20,17,13,"Shanghai",1,0,0,0
"408",2016-02-12,23,18,14,"Shanghai",0,0,0,1
"409",2016-02-13,16,12,6,"Shanghai",1,0,0,0
"410",2016-02-14,6,3,1,"Shanghai",1,0,0,0
