Date,Close,High,Low,Open
2010/12/24,12556.845,12688.44,12471.731,12592.15
2010/12/23,12644.575,12843.044,12628.715,12760.759
2010/12/22,12766.952,12975.634,12712.058,12898.693
2010/12/21,12872.446,12872.446,12524.779,12586.144
2010/12/20,12557.547,12875.672,12330.993,12815.051
2010/12/17,12759.6,12809.485,12717.321,12794.008
2010/12/16,12795.678,12914.01,12776.946,12837.173
2010/12/15,12829.364,12987.705,12813.058,12934.72
2010/12/14,12926.615,12978.087,12860.863,12953.993
2010/12/13,12905.024,12905.024,12545.567,12546.048
2010/12/10,12460.464,12523.027,12241.76,12274.566
2010/12/9,12353.266,12587.361,12353.016,12563.549
2010/12/8,12615.412,12823.145,12586.449,12671.809
2010/12/7,12656.997,12722.944,12250.389,12387.781
2010/12/6,12422.785,12531.291,12365.587,12486.317
2010/12/3,12443,12532.314,12347.563,12457.995
2010/12/2,12409.019,12584.103,12409.019,12543.268
2010/12/1,12310.384,12377.571,12211.646,12301.242
2010/11/30,12336.288,12575.954,11979.302,12515.093
2010/11/29,12536.551,12592.909,12363.222,12527.534
2010/11/26,12539.014,12676.939,12442.573,12574.645
2010/11/25,12604.084,12630.857,12416.151,12512.334
2010/11/24,12407.655,12412.945,11999.783,11999.783
2010/11/23,12062.409,12255.177,11864.359,12255.177
2010/11/22,12303.545,12418.354,12141.64,12190.345
2010/11/19,12295.849,12295.849,11868.697,12240.582
2010/11/18,12146.145,12181.001,11926.146,12056.836
2010/11/17,11917.494,12196.596,11849.895,12040.659
2010/11/16,12217.272,12822.506,12146.657,12822.506
2010/11/15,12808.094,12877.381,12558.211,12772.852
2010/11/12,12726.54,13658.286,12702.948,13594.884
2010/11/11,13684.939,13936.88,13636.797,13670.851
2010/11/10,13705.681,13762.715,13542.517,13657.433
2010/11/9,13714.288,13793.346,13622.792,13783.674
2010/11/8,13807.297,13809.565,13630.515,13785.786
2010/11/5,13733.357,13888.016,13656.405,13821.926
2010/11/4,13595.732,13595.732,13364.404,13402.813
2010/11/3,13392.7,13692.5,13388.367,13649.747
2010/11/2,13646.458,13930.325,13646.453,13762.057
2010/11/1,13743.771,13760.902,13385.25,13385.25
2010/10/29,13367.236,13500.875,13261.045,13433.319
2010/10/28,13445.025,13585.439,13344.356,13394.77
2010/10/27,13452.171,13863.982,13449.356,13681.871
2010/10/26,13729.963,13822.22,13592.305,13779.779
2010/10/25,13734.197,13739.308,13288.167,13292.528
2010/10/22,13224.978,13346.325,13036.136,13089.346
2010/10/21,13111.52,13281.989,12998.294,13175.523
2010/10/20,13130.012,13291.522,12602.74,12616.445
2010/10/19,12970.198,12970.198,12567.126,12643.297
2010/10/18,12649.27,12883.656,12532.11,12803.473
2010/10/15,12765.501,12834.8,12392.938,12421.275
2010/10/14,12507.71,12752.264,12474.016,12690.569
2010/10/13,12602.995,12634.522,12348.728,12376.589
2010/10/12,12373.279,12383.582,12168.471,12221.534
2010/10/11,12237.648,12291.63,12037.994,12037.994
2010/10/8,11911.369,11960.569,11578.116,11594.916
2010/9/30,11468.543,11468.775,11125.494,11154.836
2010/9/29,11223.862,11379.962,11192.221,11264.666
2010/9/28,11274.485,11396.38,11255.899,11380.851
2010/9/27,11409.813,11438.379,11232.508,11262.867
2010/9/21,11210.741,11262.451,11152.96,11189.584
2010/9/20,11150.329,11247.827,11072.53,11221.941
2010/9/17,11208.252,11288.849,11113.222,11180.322
2010/9/16,11164.021,11432.311,11060.661,11391.229
2010/9/15,11412.101,11653.409,11377.446,11653.409
2010/9/14,11665.41,11759.011,11630.901,11719.834
2010/9/13,11690.349,11751.27,11492.715,11541.916
2010/9/10,11530.987,11547.428,11302.726,11465.915
2010/9/9,11465.346,11750.892,11445.084,11750.892
2010/9/8,11722.782,11729.816,11579.627,11631.578
2010/9/7,11682.698,11735.34,11591.916,11674.249
2010/9/6,11656.081,11703.66,11550.126,11550.126
2010/9/3,11467.09,11540.419,11360.339,11497.478
2010/9/2,11465.153,11536.309,11392.898,11482.349
2010/9/1,11318.739,11476.611,11169.899,11369.391
2010/8/31,11338.714,11377.711,11237.104,11273.862
2010/8/30,11303.328,11350.158,11098.737,11114.715
2010/8/27,11034.734,11052.927,10926.165,10992.761
2010/8/26,11009.49,11105.435,10958.62,11001.382
2010/8/25,10963.985,11199.764,10953.471,11143.295
2010/8/24,11214.237,11311.095,10986.067,11067.212
2010/8/23,11078.855,11177.312,11049.49,11098.273
2010/8/20,11090.459,11303.869,11060.057,11280.494
2010/8/19,11321.167,11424.082,11218.629,11283.357
2010/8/18,11282.333,11365.537,11218.91,11304.118
2010/8/17,11281.966,11320.461,11171.318,11180.751
2010/8/16,11164.789,11200.857,10827.601,10870.743
2010/8/13,10886.568,10886.665,10613.278,10684.187
2010/8/12,10680.018,10899.313,10645.212,10683.997
2010/8/11,10806.625,10861.394,10654.489,10658.909
2010/8/10,10715.394,11050.825,10715.394,11028.148
2010/8/9,11017.413,11031.515,10906.878,10923.887
2010/8/6,10942.933,10949.24,10627.577,10762.604
2010/8/5,10768.078,10876.667,10701.676,10862.046
2010/8/4,10870.382,10870.947,10625.885,10781.447
2010/8/3,10830.699,11091.177,10830.699,11039.368
2010/8/2,11004.744,11041.942,10786.562,10789.066
2010/7/30,10785.346,10836.284,10693.135,10801.256
2010/7/29,10838.91,10899.433,10751.034,10847.511
2010/7/28,10825.167,10832.305,10526.951,10567.151
2010/7/27,10566.207,10631.166,10510.445,10574.173
2010/7/26,10591.125,10614.669,10449.516,10555.689
2010/7/23,10527.945,10587.027,10429.103,10510.675
2010/7/22,10471.774,10483.234,10284.505,10302.345
2010/7/21,10324.126,10433.405,10294.508,10345.975
2010/7/20,10339.429,10372.268,10095.204,10095.204
2010/7/19,10097.104,10154.357,9700.555,9727.013
2010/7/16,9806.639,9841.769,9599.972,9677.78
2010/7/15,9718.725,9957.261,9709.044,9793.974
2010/7/14,9803.72,9958.997,9759.332,9813.314
2010/7/13,9801.76,9857.489,9733.698,9850.347
2010/7/12,9959.218,9999.986,9795.467,9829.578
2010/7/9,9816.855,9868.803,9399.508,9480.287
2010/7/8,9465.799,9585.368,9436.399,9528.264
2010/7/7,9485.43,9485.43,9359.352,9392.994
2010/7/6,9363.016,9403.068,9122.018,9128.182
2010/7/5,9171.029,9237.073,8982.802,9122.433
2010/7/2,9227.888,9272.643,8945.204,9192.103
2010/7/1,9203.909,9439.738,9203.909,9376.078
2010/6/30,9386.937,9449.811,9335.565,9428.164
2010/6/29,9508.905,10061.034,9508.587,10022.8
2010/6/28,10012.055,10165.574,9980.67,10101.267
2010/6/25,10104.831,10219.723,10037.939,10195.896
2010/6/24,10250.901,10343.567,10173.385,10244.013
2010/6/23,10256.266,10374.33,10157.664,10282.461
2010/6/22,10345.547,10407.38,10242.136,10268.728
2010/6/21,10309.605,10323.182,9874.431,9957.373
2010/6/18,9966.538,10234.407,9934.822,10156.955
2010/6/17,10162.365,10329.436,10162.365,10300.497
2010/6/11,10239.333,10357.005,10222.691,10286.047
2010/6/10,10222.218,10337.121,10217.299,10271.297
2010/6/9,10346.27,10358.591,10039.757,10086.766
2010/6/8,10038.784,10104.086,9944.47,9981.744
2010/6/7,9992.674,10083.267,9922.775,9977.227
2010/6/4,10187.203,10202.062,10055.32,10086.051
2010/6/3,10118.039,10317.974,10118.039,10249.275
2010/6/2,10188.141,10188.141,9950.534,10062.749
2010/6/1,10098.454,10246.026,9970.048,10123.669
2010/5/31,10204.174,10553.242,10204.174,10455.34
2010/5/28,10495.652,10670.293,10447.155,10636.862
2010/5/27,10543.333,10575.736,10199.11,10342.185
2010/5/26,10361.697,10465.324,10286.379,10353.401
2010/5/25,10365.225,10545.538,10304.84,10539.411
2010/5/24,10620.125,10710.115,10296.192,10296.192
2010/5/21,10209.069,10209.243,9666.472,9698.074
2010/5/20,9945.551,10214.326,9903.108,9917.534
2010/5/19,9991.401,10138.179,9818.896,9904.752
2010/5/18,10003.807,10056.218,9627.424,9719.072
2010/5/17,9731.718,10177.82,9728.671,10168.15
2010/5/14,10330.141,10400.279,10257.749,10354.776
2010/5/13,10417.805,10417.805,10114.684,10161.181
2010/5/12,10146.632,10202.563,9905.48,10006.942
2010/5/11,10091.204,10511.148,10083.795,10486.272
2010/5/10,10264.045,10314.023,10042.125,10156.901
2010/5/7,10146.425,10346.204,10091.321,10184.793
2010/5/6,10422.564,10936.96,10421.714,10936.96
2010/5/5,11003.731,11006.581,10671.893,10853.13
2010/5/4,10960.771,11139.156,10911.859,10959.163
2010/4/30,11162.537,11192.377,10974.149,11135.842
2010/4/29,11196.349,11452.405,11195.219,11402.998
2010/4/28,11333.847,11444.582,11174.172,11250.527
2010/4/27,11355.367,11565.993,11179.502,11565.993
2010/4/26,11602.634,11767.664,11594.236,11701.425
2010/4/23,11702.87,11808.054,11638.025,11681.965
2010/4/22,11703.962,11822.805,11573.615,11745.239
2010/4/21,11766.815,11779.127,11501.956,11557.604
2010/4/20,11538.976,11713.905,11395.742,11627.407
2010/4/19,11644.577,12248.022,11641.597,12248.022
2010/4/16,12416.86,12508.522,12363.785,12503.465
2010/4/15,12513.291,12584.112,12422.315,12561.534
2010/4/14,12557.695,12557.695,12447.905,12514.807
2010/4/13,12511.891,12550.348,12261.271,12387.394
2010/4/12,12399.2,12625.766,12338.857,12605.945
2010/4/9,12555.123,12555.123,12393.518,12452.345
2010/4/8,12427.002,12603.246,12381.381,12603.246
2010/4/7,12631.971,12696.334,12561.407,12696.334
2010/4/6,12702.835,12849.706,12651.11,12824.148
2010/4/2,12767.856,12793.71,12707.041,12717.979
2010/4/1,12686.063,12689.072,12512.405,12512.405
2010/3/31,12494.35,12611.435,12469.449,12603.745
2010/3/30,12593.035,12617.673,12527.579,12574.805
2010/3/29,12552.449,12574.878,12301.603,12301.603
2010/3/26,12240.356,12282.265,12030.432,12081.113
2010/3/25,12086.899,12266.588,12078.256,12266.588
2010/3/24,12290.043,12359.22,12260.482,12315.614
2010/3/23,12304.981,12400.253,12280.022,12362.386
2010/3/22,12352.446,12411.216,12304.497,12358.032
2010/3/19,12352.919,12361.212,12185.447,12265.297
2010/3/18,12236.725,12354.931,12198.08,12257.846
2010/3/17,12233.774,12233.774,11975.577,12007.795
2010/3/16,11948.76,11985.028,11835.619,11931.321
2010/3/15,11903.333,12158.868,11866.993,12154.531
2010/3/12,12169.11,12376.592,12167.34,12364.569
2010/3/11,12367.687,12468.935,12277.192,12399.766
2010/3/10,12391.645,12553.966,12363.412,12496.775
2010/3/9,12507.657,12569.56,12289.964,12440.212
2010/3/8,12437.567,12470.869,12327.717,12376.327
2010/3/5,12341.739,12433.567,12268.555,12312.74
2010/3/4,12312.889,12720.357,12292.278,12647.988
2010/3/3,12612.693,12612.693,12444.197,12544.024
2010/3/2,12548.91,12690.483,12517.275,12595.321
2010/3/1,12588.26,12599.274,12454.032,12480.811
2010/2/26,12436.655,12527.016,12417.242,12472.995
2010/2/25,12494.269,12495.986,12324.943,12324.943
2010/2/24,12282.093,12282.093,11936.952,11994.949
2010/2/23,12069.209,12185.935,11922.728,12185.935
2010/2/22,12213.544,12337.768,12213.544,12299.112
2010/2/12,12304.784,12327.926,12241.61,12259.472
2010/2/11,12224.6,12297.408,12152.354,12178.951
2010/2/10,12185.378,12185.378,12051.164,12082.997
2010/2/9,11970.438,12037.315,11900.283,11935.801
2010/2/8,11947.336,11997.663,11847.02,11900.1
2010/2/5,11917.136,12018.387,11823.069,11892.313
2010/2/4,12169.479,12283.517,12112.934,12177.147
2010/2/3,12262.567,12262.567,11714.159,11961.115
2010/2/2,11912.927,12173.913,11912.927,12035.931
2010/2/1,11989.107,12126.263,11841.96,12125.509
2010/1/29,12137.204,12339.063,11998.657,12058.699
2010/1/28,12120.476,12166.466,11903.993,12008.962
2010/1/27,12046.779,12233.115,11946.485,12157.136
2010/1/26,12162.556,12536.474,12091.086,12496.107
2010/1/25,12470.188,12640.732,12458.56,12506.141
2010/1/22,12595.935,12756.921,12394.068,12756.921
2010/1/21,12917.154,12982.883,12732.961,12928.517
2010/1/20,12916.154,13389.934,12871.581,13375.529
2010/1/19,13350.671,13433.057,13318.351,13389.592
2010/1/18,13361.518,13373.107,13175.933,13234.109
2010/1/15,13264.372,13320.395,13118.246,13247.654
2010/1/14,13204.189,13222.221,12965.786,13037.804
2010/1/13,13016.557,13227.964,12936.324,13031.554
2010/1/12,13381.25,13381.25,12993.228,13187.393
2010/1/11,13161.09,13606.227,13089.876,13559.279
2010/1/8,13267.436,13270.625,13040.343,13180.895
2010/1/7,13235.48,13571.349,13148.253,13514.636
2010/1/6,13505.184,13677.403,13456.29,13509.39
2010/1/5,13517.375,13597.357,13324.555,13539.825
2010/1/4,13533.537,13782.805,13533.537,13766.096
2009/12/31,13699.97,13699.97,13509.012,13636.302
2009/12/30,13644.466,13645.165,13459.591,13504.154
2009/12/29,13503.986,13503.986,13308.801,13484.492
2009/12/28,13463.983,13502.359,13311.018,13311.018
2009/12/25,13289.938,13364.292,13223.992,13298.858
2009/12/24,13305.307,13341.635,12839.46,12867.364
2009/12/23,12813.293,12859.92,12635.677,12635.677
2009/12/22,12647.509,13060.492,12642.121,13042.915
2009/12/21,13011.15,13011.15,12815.336,12911.795
2009/12/18,12914.968,13263.301,12900.036,13263.301
2009/12/17,13391.724,13752.919,13368.625,13694.684
2009/12/16,13664.971,13883.309,13644.69,13760.759
2009/12/15,13825.839,13972.649,13782.899,13865.115
2009/12/14,13940.44,13971.23,13544.503,13882.179
2009/12/11,13875.868,14041.752,13843.8,13942.244
2009/12/10,13868.801,13992.3,13763.633,13862.757
2009/12/9,13772.169,13905.771,13713.516,13777.819
2009/12/8,13930.284,14096.867,13808.816,14079.894
2009/12/7,14051.517,14070.806,13872.517,13924.402
2009/12/4,13884.929,13950.925,13448.78,13731.877
2009/12/3,13759.835,13822.909,13604.152,13789.08
2009/12/2,13800.503,13850.263,13687.302,13724.562
2009/12/1,13682.167,13702.058,13363.739,13474.863
2009/11/30,13486.773,13486.773,13015.482,13015.482
2009/11/27,12876.146,13292.756,12800.696,13067.525
2009/11/26,13287.374,13920.896,13248.27,13848.955
2009/11/25,13814.554,13817.216,13332.534,13409.199
2009/11/24,13453.279,14032.596,13402.441,13899.843
2009/11/23,13854.661,13854.661,13667.475,13710.258
2009/11/20,13695.146,13781.008,13540.104,13645.697
2009/11/19,13699.545,13733.452,13549.323,13669.534
2009/11/18,13642.349,13750.179,13571.74,13681.897
2009/11/17,13671.077,13771.629,13627.213,13766.565
2009/11/16,13699.678,13699.678,13354.168,13354.168
2009/11/13,13264.4,13264.4,12989.747,13140.467
2009/11/12,13180.278,13299.288,13129.735,13135.911
2009/11/11,13106.919,13200.079,13003.786,13138.889
2009/11/10,13151.491,13224.785,13115.042,13133.663
2009/11/9,13036.303,13064.376,12890.013,12996.293
2009/11/6,12987.199,13082.169,12940.992,12994.509
