"","Date","Holiday","Information.Reliability","District","Country"
"294",2013-03-29,"Good Friday","Official","National","Australia"
"295",2013-04-01,"Easter Day","Official","National","Australia"
"296",2013-04-25,"Anzac Day ","Official","National","Australia"
"297",2013-05-06,"May Day","Official","NT","Australia"
"298",2013-06-03,"Western Australia Day ","Official","WA","Australia"
"299",2013-06-10,"Queen's Birthday ","Official","National","Australia"
"300",2013-08-05,"Picnic Day","Official","NT","Australia"
"301",2013-09-30,"Queen's Birthday","Official","WA","Australia"
"302",2013-09-30,"Family and Community Day","Official","ACT","Australia"
"303",2013-10-07,"Labour Day ","Official","NSW,ACT,SA,QLD","Australia"
"304",2013-12-25,"Christmas Day","Official","National","Australia"
"305",2013-12-26,"Boxing Day","Official","National","Australia"
"306",2014-01-01,"New Year's Day","Official","National","Australia"
"307",2014-01-26,"Australia Day","Official","National","Australia"
"308",2014-01-27,"Australia Day","Official","National","Australia"
"309",2014-03-03,"Labour Day","Official","WA","Australia"
"310",2014-03-10,"Labour Day","Official","VIC,TAS","Australia"
"311",2014-03-10,"Canberra Day","Official","ACT","Australia"
"312",2014-03-10,"Adelaide Cup ","Official","SA","Australia"
"313",2014-04-18,"Good Friday","Official","National","Australia"
"314",2014-04-21,"Easter Day","Official","National","Australia"
"315",2014-04-25,"Anzac Day","Official","National","Australia"
"316",2014-05-05,"May Day","Official","NT","Australia"
"317",2014-06-02,"Western Australia Day","Official","WA","Australia"
"318",2014-06-09,"Queen's Birthday","Official","National","Australia"
"319",2014-08-04,"Picnic Day","Official","NT","Australia"
"320",2014-09-29,"Queen's Birthday","Official","WA","Australia"
"321",2014-09-29,"Family and Community Day","Official","ACT","Australia"
"322",2014-10-06,"Labour Day","Official","ACT,NSW,QLD,SA","Australia"
"323",2014-11-14,"G20 Leaders’Summit Public Holiday (Brisbane)","Official","QLD","Australia"
"324",2014-12-25,"Christmas Day","Official","National","Australia"
"325",2014-12-26,"Boxing Day","Official","National","Australia"
"326",2015-01-01,"New Year's Day","Official","National","Australia"
"327",2015-01-26,"Australia Day","Official","National","Australia"
"328",2015-03-02,"Labour Day","Official","WA","Australia"
"329",2015-03-09,"Labour Day","Official","VIC,TAS","Australia"
"330",2015-03-09,"Canberra Day","Official","ACT","Australia"
"331",2015-03-09,"Adelaide Cup ","Official","SA","Australia"
"332",2015-04-03,"Good Friday","Official","National","Australia"
"333",2015-04-06,"Easter Day","Official","National","Australia"
"334",2015-04-25,"Anzac Day","Official","National","Australia"
"335",2015-05-04,"May Day","Official","NT","Australia"
"336",2015-06-01,"Western Australia Day","Official","WA","Australia"
"337",2015-06-08,"Queen's Birthday","Official","National","Australia"
"338",2015-08-03,"Picnic Day","Official","NT,NSW","Australia"
"339",2015-09-28,"Queen's Birthday","Official","WA","Australia"
"340",2015-09-28,"Family and Community Day","Official","ACT","Australia"
"341",2015-10-05,"Labour Day","Official","National","Australia"
"342",2015-12-25,"Christmas Day","Official","National","Australia"
"343",2015-12-26,"Boxing Day","Official","National","Australia"
"344",2015-12-28,"Christmas Day","Official","National","Australia"
"345",2016-01-01,"New Year's Day","Official","National","Australia"
"346",2016-01-26,"Australia Day","Official","National","Australia"
"347",2016-03-07,"Labour Day","Official","WA","Australia"
"348",2016-03-14,"Labour Day","Official","VIC,TAS","Australia"
"349",2016-03-14,"Canberra Day","Official","ACT","Australia"
"350",2016-03-14,"Adelaide Cup ","Official","SA","Australia"
"351",2016-03-25,"Good Friday","Official","National","Australia"
"352",2016-03-26,"Easter Day","Official","National","Australia"
"353",2016-03-28,"Easter Day","Official","National","Australia"
"354",2016-04-25,"Anzac Day","Official","National","Australia"
"355",2016-05-02,"May Day","Official","QLD,NT","Australia"
"356",2016-06-06,"Western Australia Day","Official","WA","Australia"
"357",2016-06-13,"Queen's Birthday","Official","National","Australia"
"358",2016-08-01,"Picnic Day","Official","NT","Australia"
"359",2016-09-26,"Queen's Birthday","Official","WA","Australia"
"360",2016-09-26,"Family and Community Day","Official","ACT","Australia"
"361",2016-10-03,"Labour Day","Official","NSW,ACT,SA","Australia"
"362",2016-10-03,"Queens Birthday","Official","QLD","Australia"
"363",2016-12-25,"Christmas Day","Official","National","Australia"
"364",2016-12-26,"Boxing Day","Official","National","Australia"
"365",2016-12-27,"Proclamation Day","Official","National","Australia"
"366",2017-01-01,"New Year's Day","Official","National","Australia"
"367",2017-01-02,"New Year's Day","Official","National","Australia"
"368",2017-01-26,"Australia Day","Official","National","Australia"
"369",2017-03-06,"Labour Day","Official","WA","Australia"
"370",2017-03-13,"Labour Day","Official","VIC","Australia"
"371",2017-03-13,"Canberra Day","Official","ACT","Australia"
"372",2017-03-13,"March public holiday","Official","SA","Australia"
"373",2017-03-13,"Eight Hours Day","Official","TAS","Australia"
"374",2017-04-14,"Good Friday","Official","National","Australia"
"375",2017-04-15,"Easter Saturday","Official","VIC,ACT,NSW,NT,QLD,SA","Australia"
"376",2017-04-16,"Easter Sunday","Official","VIC,ACT,NSW","Australia"
"377",2017-04-17,"Easter Monday","Official","National","Australia"
"378",2017-04-18,"Easter Tuesday","Official","TAS","Australia"
"379",2017-04-25,"Anzac Day","Official","National","Australia"
"380",2017-05-01,"May Day","Official","NT","Australia"
"381",2017-05-01,"Labour Day","Official","QLD","Australia"
"382",2017-06-05,"Western Australia Day","Official","WA","Australia"
"383",2017-06-12,"Queen's Birthday","Official","VIC,ACT,NSW,NT,SA,TAS","Australia"
"384",2017-08-07,"Picnic Day","Official","NT","Australia"
"385",2017-09-25,"Queen's Birthday","Official","WA","Australia"
"386",2017-09-25,"Family and Community Day","Official","ACT","Australia"
"387",2017-09-29,"AFL Grand Final Day","Official","VIC","Australia"
"388",2017-10-02,"Labour Day","Official","ACT,NSW,SA","Australia"
"389",2017-10-02,"Queen's Birthday","Official","QLD","Australia"
"390",2017-11-07,"Melbourne Cup","Official","VIC","Australia"
"391",2017-12-24,"Christmas Eve","Official","SA","Australia"
"392",2017-12-25,"Christmas Day","Official","National","Australia"
"393",2017-12-31,"New Year's Eve","Official","SA","Australia"
"394",2017-12-26,"Boxing Day","Official","National","Australia"
"395",2012-01-01,"New Year's Day","Official","National","Thailand"
"396",2012-01-02,"New Year's Day","Official","National","Thailand"
"397",2012-03-07,"Makha Bucha","Official","National","Thailand"
"398",2012-04-06,"Chakri Day","Official","National","Thailand"
"399",2012-04-13,"Songkran","Official","National","Thailand"
"400",2012-04-14,"Songkran","Official","National","Thailand"
"401",2012-04-15,"Songkran","Official","National","Thailand"
"402",2012-04-16,"Songkran ","Official","National","Thailand"
"403",2012-04-17,"Songkran ","Official","National","Thailand"
"404",2012-05-01,"Labor Day","Official","National","Thailand"
"405",2012-05-05,"Coronation Day","Official","National","Thailand"
"406",2012-05-07,"Coronation Day","Official","National","Thailand"
"407",2012-05-09,"Royal Ploughing Ceremony Day","Official","National","Thailand"
"408",2012-06-04,"Visakha Bucha","Official","National","Thailand"
"409",2012-08-02,"Asalha Bucha","Official","National","Thailand"
"410",2012-08-12,"The Queen's Birthday","Official","National","Thailand"
"411",2012-08-13,"The Queen's Birthday","Official","National","Thailand"
"412",2012-10-23,"Chulalongkorn Day","Official","National","Thailand"
"413",2012-12-05,"The King's Birthday","Official","National","Thailand"
"414",2012-12-10,"Constitution Day","Official","National","Thailand"
"415",2012-12-31,"New Year's Eve","Official","National","Thailand"
"416",2013-01-01,"New Year's Day","Official","National","Thailand"
"417",2013-02-25,"Makha Bucha","Official","National","Thailand"
"418",2013-04-05,"Chakri Day","Official","National","Thailand"
"419",2013-04-06,"Chakri Day","Official","National","Thailand"
"420",2013-04-13,"Songkran","Official","National","Thailand"
"421",2013-04-14,"Songkran","Official","National","Thailand"
"422",2013-04-15,"Songkran","Official","National","Thailand"
"423",2013-04-16,"Songkran","Official","National","Thailand"
"424",2013-04-17,"Songkran","Official","National","Thailand"
"425",2013-05-01,"Labor Day","Official","National","Thailand"
"426",2013-05-05,"Coronation Day","Official","National","Thailand"
"427",2013-05-06,"Coronation Day","Official","National","Thailand"
"428",2013-05-13,"Royal Ploughing Ceremony Day","Official","National","Thailand"
"429",2013-05-24,"Visakha Bucha","Official","National","Thailand"
"430",2013-07-22,"Asalha Bucha","Official","National","Thailand"
"431",2013-08-12,"The Queen's Birthday ","Official","National","Thailand"
"432",2013-10-23,"Chulalongkorn Day","Official","National","Thailand"
"433",2013-12-05,"The King's Birthday","Official","National","Thailand"
"434",2013-12-10,"Constitution Day","Official","National","Thailand"
"435",2013-12-31,"New Year's Eve","Official","National","Thailand"
"436",2014-01-01,"New Year's Day","Official","National","Thailand"
"437",2014-02-14,"Makha Bucha","Official","National","Thailand"
"438",2014-04-06,"Chakri Day","Official","National","Thailand"
"439",2014-04-07,"Chakri Day","Official","National","Thailand"
"440",2014-04-13,"Songkran","Official","National","Thailand"
"441",2014-04-14,"Songkran","Official","National","Thailand"
"442",2014-04-15,"Songkran","Official","National","Thailand"
"443",2014-04-16,"Songkran","Official","National","Thailand"
"444",2014-05-01,"Labor Day","Official","National","Thailand"
"445",2014-05-05,"Coronation Day","Official","National","Thailand"
"446",2014-05-09,"Royal Ploughing Ceremony Day","Official","National","Thailand"
"447",2014-05-13,"Visakha Bucha","Official","National","Thailand"
"448",2014-07-11,"Asalha Bucha","Official","National","Thailand"
"449",2014-08-11,"The Queen's Birthday ","Official","National","Thailand"
"450",2014-08-12,"The Queen's Birthday","Official","National","Thailand"
"451",2014-10-23,"Chulalongkorn Day","Official","National","Thailand"
"452",2014-12-05,"The King's Birthday","Official","National","Thailand"
"453",2014-12-10,"Constitution Day","Official","National","Thailand"
"454",2014-12-31,"New Year's Eve","Official","National","Thailand"
"455",2015-01-01,"New Year's Day","Official","National","Thailand"
"456",2015-01-02,"Bridge Public Holiday","Official","National","Thailand"
"457",2015-03-04,"Makha Bucha","Official","National","Thailand"
"458",2015-04-06,"Chakri Day","Official","National","Thailand"
"459",2015-04-13,"Songkran","Official","National","Thailand"
"460",2015-04-14,"Songkran","Official","National","Thailand"
"461",2015-04-15,"Songkran","Official","National","Thailand"
"462",2015-05-01,"Labor Day","Official","National","Thailand"
"463",2015-05-04,"Bridge Public Holiday","Official","National","Thailand"
"464",2015-05-05,"Coronation Day","Official","National","Thailand"
"465",2015-05-13,"Royal Ploughing Ceremony Day","Official","National","Thailand"
"466",2015-06-01,"Visakha Bucha","Official","National","Thailand"
"467",2015-07-30,"Asalha Bucha","Official","National","Thailand"
"468",2015-07-31,"Buddhist Lent Day","Official","National","Thailand"
"469",2015-08-12,"The Queen's Birthday","Official","National","Thailand"
"470",2015-10-23,"Chulalongkorn Day","Official","National","Thailand"
"471",2015-12-05,"The King's Birthday","Official","National","Thailand"
"472",2015-12-07,"The King's Birthday","Official","National","Thailand"
"473",2015-12-10,"Constitution Day","Official","National","Thailand"
"474",2015-12-31,"New Year's Eve","Official","National","Thailand"
"475",2016-01-01,"New Year's Day","Official","National","Thailand"
